,importance
h_assists,0.29316762809915026
h_numMinutes,0.1237646086996006
away_actual_ast_rate,0.09825402206919423
home_actual_ast_rate,0.08181291821851491
h_usage_share,0.07980132588559948
home,0.07509496679401399
home_actual_margin,0.035096629632196494
away_actual_margin,0.030907701157186062
h_reboundsTotal,0.02345759178089563
h_points,0.016771931812764544
h_off_rating,0.01299933855808184
away_actual_to_rate,0.012931775233312025
home_actual_oreb_rate,0.012231469354778824
h_usage_rate,0.009763671444299713
home_actual_to_rate,0.009347369978983788
away_actual_pace,0.009304620734772426
h_pace,0.008888832598060298
home_actual_pace,0.00858475846895769
h_def_rating,0.00855248654110132
away_actual_rim_rate,0.007651012205599646
home_actual_rim_rate,0.006242974186904976
h_implied_total,0.005295562166227304
away_actual_oreb_rate,0.005243775729336395
away_actual_assisted_rate,0.004577976567751685
away_actual_3pa_rate,0.004084928621258285
home_actual_midrange_rate,0.0038678640971820132
home_actual_3pa_rate,0.0038561108032472164
away_actual_midrange_rate,0.002909258816321285
home_actual_assisted_rate,0.0027132876507461167
days_rest,0.0027086735493084975
is_b2b,0.00011492854465253994
