,importance
h_reboundsTotal,0.23209740301142912
h_numMinutes,0.12396959813410681
home,0.07681931095703579
away_actual_oreb_rate,0.07440289956031694
away_actual_margin,0.06322510172147895
home_actual_margin,0.06208436042637047
home_actual_oreb_rate,0.04879161737319212
h_assists,0.035602934561049564
away_actual_to_rate,0.02854270882214407
h_usage_share,0.02842918303171766
home_actual_to_rate,0.025179179196799368
away_actual_pace,0.0243198517128238
h_points,0.018019154465094476
h_usage_rate,0.0174706573320844
h_def_rating,0.01681072673528683
home_actual_pace,0.016423313625410326
h_pace,0.01378802569490995
home_actual_midrange_rate,0.01194123980130713
h_off_rating,0.011608077141305389
away_actual_3pa_rate,0.011578367668544792
h_implied_total,0.010337593738606193
home_actual_3pa_rate,0.00943026153550397
days_rest,0.007960125500888197
away_actual_rim_rate,0.007272307531824344
home_actual_ast_rate,0.006153894439496198
home_actual_rim_rate,0.004825342796567233
away_actual_ast_rate,0.004279872804560381
away_actual_midrange_rate,0.0033970591952258724
home_actual_assisted_rate,0.002936577138980006
away_actual_assisted_rate,0.0021843530747691275
is_b2b,0.0001189012711704715
